ID,gender,field,frequency,output,learning impact,knowledge retention,dependent on technology,restriction,free_time
252,Male,Engineering,Rarely,basic,Somewhat improved,Somewhat helps,"Yes, significantly",guidelines,0- 2 hours
253,Male,Business/Finance,Occasionally,basic,Somewhat improved,Somewhat hinders,"Yes, significantly",free,8+ hours per week
254,Female,Engineering,Never,basic,Somewhat improved,Somewhat helps,No,Unsure,0- 2 hours
255,Male,Engineering,Frequently,basic,Significantly improved,Somewhat helps,"Yes, significantly",guidelines,8+ hours per week
256,Female,Business/Finance,Frequently,stronger,Significantly improved,Somewhat hinders,"Yes, significantly",guidelines,8+ hours per week
257,Female,Medicine/Healthcare,Very frequently,stronger,Significantly improved,Strongly helps,"Yes, significantly",Unsure,0- 2 hours
258,Male,Business/Finance,Occasionally,basic,No impact,Somewhat helps,"Yes, certain areas",restricted,3-8 hours per week
259,Male,Engineering,Occasionally,strong,Somewhat improved,No effect,"Yes, certain areas",guidelines,8+ hours per week
260,Female,Business/Finance,Frequently,stronger,Significantly reduced,Strongly helps,"Yes, significantly",free,0- 2 hours
261,Female,Business/Finance,Occasionally,strong,Somewhat improved,Somewhat helps,"Yes, significantly",restricted,3-8 hours per week
262,Female,Business/Finance,Very frequently,stronger,Significantly improved,Strongly helps,"Yes, significantly",guidelines,8+ hours per week
263,Female,Medicine/Healthcare,Frequently,strong,Significantly improved,Strongly helps,No,guidelines,3-8 hours per week
264,Male,Business/Finance,Occasionally,strong,Somewhat improved,Somewhat helps,"Yes, certain areas",free,0- 2 hours
265,Female,Engineering,Very frequently,strong,Significantly improved,Strongly helps,"Yes, significantly",restricted,8+ hours per week
266,Female,Business/Finance,Rarely,basic,No impact,Somewhat hinders,"Yes, significantly",restricted,3-8 hours per week
267,Male,Engineering,Occasionally,strong,Somewhat improved,Somewhat helps,"Yes, certain areas",free,8+ hours per week
268,Male,Engineering,Frequently,strong,Significantly improved,Strongly helps,"Yes, certain areas",guidelines,8+ hours per week
269,Female,Business/Finance,Occasionally,basic,Somewhat improved,Somewhat helps,"Yes, significantly",restricted,8+ hours per week
270,Female,Medicine/Healthcare,Rarely,strong,Somewhat improved,Somewhat hinders,"Yes, significantly",guidelines,8+ hours per week
271,Female,Engineering,Occasionally,strong,Significantly improved,Somewhat helps,"Yes, significantly",free,8+ hours per week
272,Prefer not to state,Medicine/Healthcare,Very frequently,strong,Somewhat improved,Somewhat helps,"Yes, certain areas",restricted,0- 2 hours
273,Male,Engineering,Occasionally,basic,Somewhat improved,Somewhat helps,"Yes, certain areas",guidelines,0- 2 hours
274,Female,Business/Finance,Rarely,strong,Significantly improved,Strongly helps,"Yes, certain areas",guidelines,3-8 hours per week
275,Male,Engineering,Frequently,stronger,Significantly improved,Somewhat helps,"Yes, certain areas",guidelines,3-8 hours per week
276,Male,Business/Finance,Frequently,strong,Somewhat improved,Strongly helps,No,guidelines,8+ hours per week
277,Male,Business/Finance,Occasionally,strong,No impact,Somewhat helps,No,guidelines,0- 2 hours
278,Female,Business/Finance,Very frequently,stronger,Significantly improved,Strongly helps,No,restricted,8+ hours per week
279,Female,Computer Science/IT,Frequently,strong,Significantly improved,Strongly helps,"Yes, certain areas",guidelines,0- 2 hours
280,Female,Business/Finance,Very frequently,strong,Significantly improved,Strongly helps,"Yes, significantly",restricted,0- 2 hours
281,Female,Business/Finance,Rarely,strong,Somewhat improved,Somewhat helps,"Yes, significantly",guidelines,0- 2 hours
282,Male,Business/Finance,Never,Poor,No impact,No effect,"Yes, significantly",Unsure,0- 2 hours
283,Male,Computer Science/IT,Frequently,stronger,Significantly improved,Somewhat helps,"Yes, significantly",guidelines,3-8 hours per week
284,Male,Business/Finance,Frequently,basic,Somewhat improved,Somewhat helps,"Yes, certain areas",Unsure,8+ hours per week
285,Female,Business/Finance,Occasionally,basic,Somewhat improved,Somewhat helps,"Yes, certain areas",guidelines,3-8 hours per week
286,Female,Medicine/Healthcare,Frequently,basic,Somewhat improved,Somewhat helps,"Yes, certain areas",guidelines,8+ hours per week
287,Female,Business/Finance,Very frequently,strong,Somewhat decreased,Somewhat hinders,"Yes, certain areas",guidelines,3-8 hours per week
288,Female,Medicine/Healthcare,Very frequently,stronger,Significantly improved,Strongly helps,"Yes, significantly",guidelines,8+ hours per week
289,Male,Engineering,Occasionally,basic,Somewhat improved,Somewhat helps,"Yes, significantly",restricted,3-8 hours per week
290,Female,Business/Finance,Never,stronger,Significantly reduced,Somewhat helps,"Yes, significantly",restricted,3-8 hours per week
291,Female,Business/Finance,Very frequently,strong,Significantly improved,Strongly helps,"Yes, certain areas",guidelines,8+ hours per week
292,Female,Engineering,Very frequently,stronger,Significantly improved,Strongly helps,"Yes, significantly",restricted,8+ hours per week
293,Female,Business/Finance,Occasionally,stronger,Significantly improved,Strongly helps,"Yes, certain areas",guidelines,3-8 hours per week
294,Female,Business/Finance,Occasionally,strong,Somewhat improved,Somewhat helps,"Yes, certain areas",guidelines,8+ hours per week
295,Female,Business/Finance,Occasionally,strong,Somewhat improved,Somewhat hinders,"Yes, significantly",restricted,8+ hours per week
296,Female,Business/Finance,Frequently,strong,Significantly improved,Somewhat helps,No,guidelines,3-8 hours per week
297,Female,Computer Science/IT,Occasionally,strong,Significantly improved,Somewhat helps,"Yes, certain areas",guidelines,8+ hours per week
298,Male,Business/Finance,Rarely,stronger,Somewhat improved,Strongly helps,"Yes, certain areas",guidelines,8+ hours per week
299,Female,Business/Finance,Rarely,strong,Somewhat improved,No effect,"Yes, certain areas",guidelines,3-8 hours per week
300,Female,Business/Finance,Very frequently,strong,Significantly improved,Strongly helps,No,guidelines,3-8 hours per week
301,Female,Business/Finance,Very frequently,stronger,Significantly improved,Strongly helps,"Yes, significantly",free,8+ hours per week
302,Male,Computer Science/IT,Occasionally,strong,No impact,No effect,No,free,3-8 hours per week
303,Male,Engineering,Occasionally,stronger,Significantly improved,Strongly helps,"Yes, certain areas",guidelines,3-8 hours per week
304,Female,Computer Science/IT,Very frequently,strong,Significantly improved,Strongly helps,"Yes, certain areas",guidelines,8+ hours per week
305,Male,Engineering,Frequently,strong,Somewhat improved,Somewhat helps,"Yes, significantly",guidelines,8+ hours per week
306,Male,Engineering,Very frequently,stronger,Significantly improved,Strongly helps,"Yes, certain areas",free,8+ hours per week
307,Female,Engineering,Very frequently,strong,Significantly improved,Somewhat helps,"Yes, certain areas",free,3-8 hours per week
308,Male,Engineering,Occasionally,strong,No impact,Somewhat helps,"Yes, certain areas",guidelines,8+ hours per week
309,Male,Computer Science/IT,Very frequently,strong,Somewhat improved,Somewhat helps,"Yes, significantly",restricted,8+ hours per week
310,Prefer not to state,Computer Science/IT,Frequently,stronger,Significantly reduced,Strongly helps,"Yes, significantly",guidelines,3-8 hours per week
311,Female,Business/Finance,Frequently,strong,Somewhat improved,Somewhat helps,"Yes, certain areas",guidelines,8+ hours per week
312,Male,Engineering,Very frequently,stronger,Significantly improved,Strongly helps,"Yes, significantly",guidelines,8+ hours per week
313,Female,Computer Science/IT,Frequently,basic,Significantly improved,Strongly helps,"Yes, certain areas",guidelines,8+ hours per week
314,Male,Humanities/Social Sciences,Very frequently,strong,Significantly improved,Somewhat helps,"Yes, certain areas",guidelines,8+ hours per week
315,Female,Business/Finance,Very frequently,stronger,Significantly reduced,Strongly helps,"Yes, certain areas",free,8+ hours per week
316,Female,Engineering,Frequently,stronger,Somewhat improved,No effect,"Yes, significantly",free,0- 2 hours
317,Male,Engineering,Frequently,basic,Significantly improved,No effect,"Yes, significantly",free,0- 2 hours
318,Male,Computer Science/IT,Very frequently,strong,Significantly improved,Somewhat helps,"Yes, certain areas",guidelines,8+ hours per week
319,Female,Computer Science/IT,Frequently,basic,Somewhat improved,Somewhat helps,"Yes, significantly",free,8+ hours per week
320,Prefer not to state,Engineering,Rarely,strong,No impact,Somewhat hinders,"Yes, significantly",restricted,8+ hours per week
321,Male,Computer Science/IT,Very frequently,basic,Somewhat improved,Somewhat helps,"Yes, significantly",guidelines,8+ hours per week
322,Female,Business/Finance,Very frequently,stronger,Significantly improved,Somewhat helps,No,guidelines,8+ hours per week
323,Male,Business/Finance,Very frequently,strong,Significantly improved,Strongly helps,"Yes, significantly",guidelines,8+ hours per week
324,Male,Engineering,Occasionally,strong,Somewhat improved,No effect,"Yes, certain areas",restricted,3-8 hours per week
325,Female,Business/Finance,Frequently,strong,No impact,Somewhat hinders,"Yes, significantly",guidelines,3-8 hours per week
326,Female,Business/Finance,Occasionally,stronger,Significantly improved,Somewhat helps,"Yes, certain areas",guidelines,0- 2 hours
327,Female,Medicine/Healthcare,Rarely,stronger,Somewhat improved,Somewhat helps,"Yes, significantly",Unsure,0- 2 hours
328,Female,Engineering,Rarely,basic,No impact,Somewhat hinders,"Yes, significantly",guidelines,0- 2 hours
329,Male,Engineering,Occasionally,basic,Somewhat improved,Somewhat helps,"Yes, certain areas",restricted,8+ hours per week
330,Female,Business/Finance,Occasionally,basic,Somewhat improved,Somewhat helps,"Yes, significantly",restricted,3-8 hours per week
331,Female,Business/Finance,Occasionally,basic,No impact,Somewhat helps,"Yes, significantly",guidelines,8+ hours per week
332,Male,Engineering,Occasionally,strong,Significantly improved,Strongly helps,"Yes, certain areas",free,8+ hours per week
333,Male,Business/Finance,Occasionally,strong,Somewhat improved,Somewhat helps,"Yes, certain areas",guidelines,8+ hours per week
334,Female,Engineering,Occasionally,strong,Somewhat improved,Strongly helps,"Yes, certain areas",guidelines,3-8 hours per week
335,Female,Business/Finance,Very frequently,strong,Somewhat improved,Somewhat helps,No,Unsure,3-8 hours per week
336,Female,Medicine/Healthcare,Very frequently,stronger,Significantly improved,Somewhat helps,"Yes, certain areas",restricted,0- 2 hours
337,Male,Business/Finance,Frequently,stronger,Significantly improved,Strongly helps,"Yes, certain areas",restricted,0- 2 hours
338,Female,Engineering,Occasionally,basic,Significantly improved,Somewhat helps,"Yes, significantly",guidelines,0- 2 hours
339,Female,Business/Finance,Frequently,strong,Significantly improved,Somewhat helps,"Yes, significantly",guidelines,3-8 hours per week
340,Male,Engineering,Very frequently,stronger,Significantly improved,Strongly helps,"Yes, certain areas",free,3-8 hours per week
341,Male,Engineering,Very frequently,strong,Significantly improved,Somewhat helps,"Yes, certain areas",guidelines,3-8 hours per week
342,Male,Computer Science/IT,Occasionally,strong,Somewhat improved,Strongly helps,No,free,8+ hours per week
343,Female,Engineering,Frequently,stronger,Significantly improved,Somewhat hinders,"Yes, significantly",guidelines,8+ hours per week
344,Male,Engineering,Occasionally,basic,No impact,No effect,"Yes, significantly",guidelines,3-8 hours per week
345,Male,Engineering,Frequently,basic,Somewhat improved,Strongly helps,"Yes, certain areas",restricted,8+ hours per week
346,Male,Engineering,Frequently,strong,Somewhat improved,Somewhat helps,"Yes, certain areas",free,3-8 hours per week
347,Female,Engineering,Rarely,basic,Somewhat decreased,Somewhat hinders,"Yes, certain areas",guidelines,8+ hours per week
348,Female,Other ,Very frequently,strong,Significantly improved,Somewhat helps,"Yes, certain areas",free,3-8 hours per week
349,Female,Medicine/Healthcare,Occasionally,basic,Significantly reduced,Somewhat helps,"Yes, certain areas",guidelines,3-8 hours per week
350,Female,Business/Finance,Frequently,strong,Significantly improved,Somewhat helps,"Yes, certain areas",guidelines,3-8 hours per week
351,Male,Engineering,Frequently,stronger,Somewhat decreased,Somewhat hinders,"Yes, significantly",restricted,8+ hours per week
352,Prefer not to state,Business/Finance,Occasionally,strong,Significantly improved,Somewhat helps,"Yes, certain areas",guidelines,8+ hours per week
353,Female,Engineering,Very frequently,stronger,Significantly improved,Strongly helps,"Yes, certain areas",guidelines,0- 2 hours
354,Male,Computer Science/IT,Very frequently,stronger,Significantly improved,Strongly helps,"Yes, certain areas",guidelines,8+ hours per week
355,Male,Engineering,Frequently,strong,Somewhat improved,No effect,"Yes, certain areas",free,3-8 hours per week
356,Male,Business/Finance,Very frequently,stronger,Significantly improved,Strongly helps,"Yes, significantly",free,3-8 hours per week
357,Female,Engineering,Occasionally,strong,Significantly improved,Strongly helps,"Yes, certain areas",free,3-8 hours per week
358,Female,Medicine/Healthcare,Frequently,strong,Somewhat improved,No effect,No,guidelines,8+ hours per week
359,Female,Medicine/Healthcare,Rarely,basic,Somewhat improved,Somewhat hinders,"Yes, significantly",guidelines,8+ hours per week
360,Female,Business/Finance,Rarely,basic,Significantly improved,Strongly helps,No,guidelines,3-8 hours per week
361,Female,Computer Science/IT,Occasionally,strong,Significantly improved,Strongly helps,No,restricted,3-8 hours per week
362,Prefer not to state,Engineering,Never,basic,No impact,Strongly hinders,"Yes, significantly",restricted,0- 2 hours
363,Male,Engineering,Frequently,stronger,Somewhat improved,Somewhat helps,"Yes, certain areas",guidelines,3-8 hours per week
364,Female,Business/Finance,Frequently,strong,Significantly improved,Somewhat helps,No,guidelines,0- 2 hours
365,Male,Engineering,Rarely,basic,Somewhat improved,Somewhat helps,"Yes, significantly",guidelines,0- 2 hours
366,Female,Business/Finance,Very frequently,basic,Significantly improved,Somewhat helps,"Yes, significantly",guidelines,8+ hours per week
367,Female,Business/Finance,Frequently,strong,Significantly improved,Strongly helps,"Yes, certain areas",guidelines,0- 2 hours
368,Female,Business/Finance,Occasionally,basic,Somewhat improved,Somewhat helps,"Yes, significantly",restricted,8+ hours per week
369,Male,Engineering,Frequently,strong,Significantly improved,Somewhat helps,"Yes, certain areas",restricted,8+ hours per week
370,Male,Computer Science/IT,Very frequently,strong,Somewhat improved,Somewhat hinders,"Yes, certain areas",restricted,8+ hours per week
371,Male,Computer Science/IT,Very frequently,stronger,Significantly improved,Strongly helps,"Yes, certain areas",free,3-8 hours per week
372,Female,Medicine/Healthcare,Frequently,strong,Somewhat improved,Somewhat helps,"Yes, significantly",guidelines,8+ hours per week
373,Female,Medicine/Healthcare,Occasionally,basic,Significantly improved,Strongly helps,No,guidelines,0- 2 hours
374,Female,Business/Finance,Frequently,stronger,Significantly improved,Strongly helps,"Yes, significantly",guidelines,8+ hours per week
375,Female,Business/Finance,Occasionally,strong,Somewhat improved,Somewhat helps,"Yes, certain areas",guidelines,8+ hours per week
376,Female,Business/Finance,Frequently,basic,Significantly improved,Somewhat helps,"Yes, certain areas",restricted,0- 2 hours
377,Male,Business/Finance,Frequently,strong,Somewhat decreased,No effect,"Yes, certain areas",free,0- 2 hours
378,Female,Computer Science/IT,Frequently,strong,Somewhat improved,Somewhat hinders,No,guidelines,3-8 hours per week
379,Male,Business/Finance,Rarely,basic,Somewhat improved,Somewhat helps,"Yes, certain areas",guidelines,3-8 hours per week
380,Female,Medicine/Healthcare,Frequently,stronger,Significantly improved,Strongly helps,"Yes, significantly",Unsure,8+ hours per week
381,Male,Business/Finance,Frequently,strong,Somewhat improved,Strongly helps,No,guidelines,3-8 hours per week
382,Female,Engineering,Frequently,stronger,Somewhat improved,Somewhat helps,"Yes, significantly",free,8+ hours per week
383,Female,Medicine/Healthcare,Frequently,basic,Somewhat improved,Somewhat helps,"Yes, certain areas",guidelines,8+ hours per week
384,Female,Engineering,Occasionally,basic,No impact,Strongly hinders,"Yes, significantly",guidelines,0- 2 hours
385,Male,Computer Science/IT,Very frequently,strong,Somewhat improved,No effect,"Yes, significantly",free,3-8 hours per week
386,Female,Business/Finance,Frequently,basic,Significantly improved,Somewhat helps,"Yes, certain areas",Unsure,8+ hours per week
387,Male,Computer Science/IT,Occasionally,strong,Somewhat improved,Somewhat hinders,"Yes, certain areas",restricted,3-8 hours per week
388,Male,Engineering,Frequently,stronger,Somewhat decreased,Somewhat helps,"Yes, certain areas",Unsure,3-8 hours per week
389,Female,Medicine/Healthcare,Frequently,stronger,Significantly improved,Strongly helps,"Yes, certain areas",guidelines,8+ hours per week
390,Female,Business/Finance,Very frequently,stronger,Significantly improved,Strongly helps,"Yes, certain areas",guidelines,8+ hours per week
391,Female,Engineering,Very frequently,stronger,Significantly improved,Strongly helps,"Yes, certain areas",free,8+ hours per week
392,Female,Business/Finance,Very frequently,strong,No impact,Somewhat helps,"Yes, certain areas",guidelines,3-8 hours per week
393,Male,Engineering,Occasionally,strong,No impact,No effect,"Yes, certain areas",restricted,0- 2 hours
394,Male,Computer Science/IT,Rarely,basic,Somewhat decreased,Somewhat hinders,"Yes, certain areas",restricted,8+ hours per week
395,Male,Engineering,Very frequently,strong,Significantly improved,Somewhat helps,"Yes, certain areas",free,8+ hours per week
396,Female,Computer Science/IT,Occasionally,stronger,Significantly improved,Somewhat helps,"Yes, significantly",restricted,3-8 hours per week
397,Female,Computer Science/IT,Very frequently,stronger,Somewhat improved,Somewhat helps,"Yes, significantly",guidelines,8+ hours per week
398,Male,Business/Finance,Very frequently,strong,Significantly improved,Strongly helps,"Yes, significantly",guidelines,3-8 hours per week
399,Female,Business/Finance,Very frequently,stronger,Significantly improved,Strongly helps,"Yes, certain areas",guidelines,8+ hours per week
400,Female,Business/Finance,Very frequently,strong,Somewhat decreased,Somewhat hinders,"Yes, significantly",restricted,8+ hours per week
401,Male,Business/Finance,Very frequently,stronger,Somewhat improved,Somewhat helps,"Yes, significantly",guidelines,3-8 hours per week
402,Male,Engineering,Frequently,basic,Significantly improved,No effect,No,free,3-8 hours per week
403,Female,Business/Finance,Occasionally,strong,Somewhat improved,Somewhat hinders,"Yes, significantly",guidelines,8+ hours per week
404,Female,Computer Science/IT,Frequently,strong,Somewhat improved,Somewhat helps,"Yes, significantly",free,8+ hours per week
405,Female,Medicine/Healthcare,Frequently,strong,Significantly improved,Somewhat helps,"Yes, significantly",free,8+ hours per week
406,Male,Computer Science/IT,Frequently,strong,Somewhat improved,Somewhat helps,"Yes, significantly",restricted,8+ hours per week
407,Female,Business/Finance,Frequently,strong,Somewhat decreased,Somewhat helps,"Yes, certain areas",restricted,8+ hours per week
408,Male,Engineering,Very frequently,basic,Significantly improved,Strongly helps,No,guidelines,8+ hours per week
409,Male,Engineering,Occasionally,strong,No impact,Strongly helps,"Yes, certain areas",guidelines,3-8 hours per week
410,Female,Computer Science/IT,Very frequently,stronger,Significantly improved,Strongly helps,"Yes, certain areas",guidelines,8+ hours per week
